,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
MARATHON_FULL,,Full Marathon,Marathon Complet,Pełny Maraton,Пoлhый mapaфoh,Maratón completo,Maratona completa,ＦＵＬＬ ＭＡＲＡＴＨＯＮ,Buong maraton,Spiel-Marathon,Full Maraton,Maraton Penuh,Maratona Completa,フルマラソン
MARATHON_LEVEL,,Single Level,Niveau Unique,Pojedynczy Poziom,oдиh Уpobehь,Nivel único,Singolo livello,ＳＩＮＧＬＥ ＬＥＶＥＬ,Isang lebel,Ein-Level-Marathon,Tek Level,Single Level,Nível Único,1ステージ
MENU_EXTRAS,,Extras,Extras,Dodatki,Дoпoлhиteльho,Extras,Extra,ＥＸＴＲＡＳ,Extra,Extras,Ekstralar,Extras,Extras,ボーナス
MENU_CREDITS,,Credits,Crédits,Zasługi,tиtpы,Créditos,Crediti,ＣＲＥＤＩＴＳ,Credits,Credits,Katkıda Bulunanlar,Kredit,Créditos,クレジット
MENU_ACHIEVEMENTS,,Achievements,Succès,Osiągnięcia,Дoctижehия,Logros,Obiettivi,ＡＣＨＩＥＶＥＭＥＮＴＳ,Tropeo,Erfolge,Başarılar,Achievement,Conquistas,トロフィー
GHOST_SELECT,Do you want a ghost or not during the run?,Select Ghost,Fantôme ?,Wybierz Ducha,bыбepиte Пpиbeдehиe,Seleccionar fantasma,Seleziona fantasma,ＳＥＬＥＣＴ ＧＨＯＳＴ,Iyong previous ghost,Geist anzeigen?,Hayalet Seç,Pilih Hantu,Selecione seu Fantasma,テレサをえらぶ
DELETION_CONFIRM,,Confirm?,Confirmer ?,Potwierdzić?,Пoдtbepдиtь?,¿Confirmar?,Confermi?,ＣＯＮＦＩＲＭ?,I-confirm?,Bestätigen?,Onayla,Mengonfirmasi?,Confirmar?,かくにん？
DELETION_CONFIRM_2,,You Sure?,Vous êtes sûr ?,Jesteś Pewien?,bы Уbepehы?,¿Estás seguro?,Ne sei sicuro?,ＹＯＵ ＳＵＲＥ?,Sigurado ka?,Sicher?,Emİn Mİsİn?,Kau Yakin?,Certeza?,ほんとうにいいの？
DELETION_WARNING,,Warning! This will permanently delete data!,Attention ! Toute données sera supprimer à jamais !,Uwaga! To trwale usunie dane!,bhиmahиe! baши дahhыe удaляtcя habceгдa!,¡Atención! ¡Esto eliminará los datos de forma permanente!,Attenzione! L'eliminazione dei dati è permanente!,ＷＡＲＮＩＮＧ! ＴＨＩＳ ＷＩＬＬ ＰＥＲＭＡＮＥＮＴＬＹ ＤＥＬＥＴＥ ＤＡＴＡ!,,Achtung! Dies wird permanent Speicherdaten löschen!,Uyarı! Bu tüm verİlerİ kalıcı olarak sİlecektİr!,Peringatan! Ini akan menghapus data secara permanen!,Aviso! Isso vai permanentemente deletar seus dados,ちゅうい！これによって　データが　かんぜんに　さくじょされる　かのせいが　ある。
DELETION_CAMPAIGN,,Delete Campaign Data,Supprimer Données de la Campagne,Usuń Dane Kampanii,Удaлиtь дahhыe kamпahий,Eliminar datos de la campaña,Elimina dati della campagna,ＤＥＬＥＴＥ ＣＡＭＰＡＩＧＮ ＤＡＴＡ,I-delete ang data ng Kampanya,Kampagne-Speicherdaten löschen,Kampanya Verİlerİnİ Sİl,Hapus Data Kampanye,Excluir Dados da Campanha,キャンペーンデータをさくじょする
DELETION_CHALLENGE,,Delete Challenge Data,Supprimer Données des Challenges,Usuń Dane Wyzwań,Удaлиtь дahhыe иcпыtahий,Eliminar datos del desafío,Elimina dati delle sfide,ＤＥＬＥＴＥ ＣＨＡＬＬＥＮＧＥ ＤＡＴＡ,I-delete ang data ng mga Hamon,Herausforderungen-Speicherdaten löschen,Zorluk Verİlerİnİ Sİl,Hapus Data Tantangan,Excluir Dados de Desafio,チャレンジデータをさくじょする
DELETION_MARATHON,,Delete Marathon Data,Supprimer Données des Marathons,Usuń Dane Maratonów,Удaлиtь дahhыe mapaфohob,Eliminar datos del maratón,Elimina dati delle maratone,ＤＥＬＥＴＥ ＭＡＲＡＴＨＯＮ ＤＡＴＡ,I-delete ang data ng Maraton,Marathon-Speicherdaten löschen,Maraton Verİlerİnİ Sİl,Hapus Data Marathon,Excluir Dados de Maratona,マラソンデータをさくじょする
DELETION_BOO,,Delete You VS. Boo Data,Supprimer Données de Vous Contre Boo,Usuń Dane Ty Kontra Boo,Удaлиtь дahhыe tы Пpotиb БУ,Eliminar datos de You VS. Boo,Elimina dati di Tu vs Boo,ＤＥＬＥＴＥ ＹＯＵ ＶＳ. ＢＯＯ ＤＡＴＡ,I-delete ang data ng Ikaw Kontra Multo,Du Vs. Boo-Speicherdaten löschen,Sen VS. Boo Verİlerİnİ Sİl,Hapus Data Kau VS. Boo,Deletar Dados de Voçê VS. Boo,テレサレースデータをさくじょする
DELETION_ACHIEVEMENT,,Delete Achievement Data,Supprimer Données des Succès,Usuń Dane Osiągnięć,Удaлиtь дahhыe дoctижehий,Eliminar datos de logros,Elimina dati degli obiettivi,ＤＥＬＥＴＥ ＡＣＨＩＥＶＥＭＥＮＴ ＤＡＴＡ,I-delete ang data ng mga Tropeo,Erfolge-Speicherdaten löschen,Başarı Verİlerİnİ Sİl,Hapus Data Achievement,Deletar Dados de Conquistas,トロフィーデータをさくじょする
DELETION_ALL,,Delete Everything,Tout supprimer,Usuń Wszystko,Удaлиtь bcё,Eliminar todo,Elimina tutto,ＤＥＬＥＴＥ ＥＶＥＲＹＴＨＩＮＧ,I-delete ang kabuohang data,Alle Speicherdaten löschen,Herşeyİ Sİl,Hapus Semuanya,Deletar Tudo,すべてのデータをさくじょする
CREDITS_SKIP,,Press Jump to Skip...,Appuyez sur Saut pour passer,Wciśnij Skok aby Pominąć,"haжmиte пpыжok, чtoбы пpoпУctиtь...",Pulse Saltar para omitir,Premi Salta per saltare...,ＰＲＥＳＳ ＪＵＭＰ ＴＯ ＳＫＩＰ...,Pindutin ang Jump para magpatuloy,Zum Überspringen Sprung-Taste drücken.,Atlamak İçİn Zıplayın...,Tekan Lompat untuk Melewati...,Aperte Pular para Pular,ジャンプキーでスキップ
EDITOR_MAIN_CREATE_0,,New Level,Nouveau Niveau,Nowy Poziom,hobый Уpobehь,Neuvo nivel,Nuovo livello,ＮＥＷ ＬＥＶＥＬ,Bagong Lebel,Neues Level,Yenİ Level,Level Baru,Novo Nível,あたらたなステージ
EDITOR_MAIN_CREATE_1,,Make a level…,Créer un niveau,Stwórz poziom,coздatь Уpobehь...,Crear un nivel...,Crea un livello...,ＭＡＫＥ Ａ ＬＥＶＥＬ…,Gumawa ng Lebel...,Erstelle ein Level.,Level Oluştur...,Buat level…,Crie um nível...,ステージをつくる
EDITOR_MAIN_LIST_NOLEVEL,,No levels found!,Aucun Niveaux trouvés !,Nie znaleziono poziomów,Уpobheй he haйдeho!,¡No se han encontrado niveles!,Nessun livello trovato!,ＮＯ ＬＥＶＥＬＳ ＦＯＵＮＤ!,Walang makitang lebel...,Keine Level vorhanden!,Level Bulunamadı!,Tidak ada level yang ditemukan!,Nenhum nível encontrado!,ステージがみつからない！
EDITOR_MAIN_LEVEL_PLAY,,Play,Jouer,Graj,Игpatь,Jugar,Gioca,ＰＬＡＹ,Play,Spielen,Oyna,Main,Jogar,あそぶ
EDITOR_MAIN_LEVEL_EDIT,,Edit,Éditer,Edytuj,peдaktиpobatь,Editar,Modifica,ＥＤＩＴ,I-edit,Bearbeiten,Düzenle,Edit,Editar,へんしゅう
EDITOR_MAIN_LEVEL_DELETE,,Delete,Supprimer,Usuń,Удaлиtь,Eliminar,Elimina,ＤＥＬＥＴＥ,I-delete,Löschen,Sİl,Hapus,Deletar,さくじょ
EDITOR_MAIN_LEVEL_CONFIRM,,Confirm?,Confirmer ?,Potwierdzić?,Пoдtbepдиtь?,¿Confirmar?,Confermi?,ＣＯＮＦＩＲＭ?,I-confirm?,Bestätigen?,Onayla,Mengonfirmasi?,Confirmar?,かくにん？
EDITOR_MAIN_OPEN_FOLDER,,Open Folder,Ouvrir Dossier,Otwórz Folder,otkpыtь пaпkУ,Abrir carpeta,Apri cartella,ＯＰＥＮ ＦＯＬＤＥＲ,Buksan ang folder,Ordner öffnen,Klasörü Aç,Buka Folder,Abrir Pasta,フォルダをひらく
EDITOR_MAIN_REFRESH,,Refresh List,Rafraîchir Liste,Odśwież Listę,oбhobиtь лиct,Actualizar lista,Aggiorna lista,ＲＥＦＲＥＳＨ ＬＩＳＴ,i-refresh ang list,Liste aktualisieren,Lİsteyİ Yenİle,Perbarui Daftar,Recarregar Lista,リストをこうしん
EDITOR_MAIN_LSS,,Browse LSS,Surfer sur LSS,Przeglądaj LSS,Пoиck b LSS,Explorar LSS,Esplora LSS,ＢＲＯＷＳＥ ＬＳＳ,Humanap sa LSS,LSS durchsuchen,LSS'ye Gözat,Jelajahi LSS,Pesquisa LSS,LSSをえつらんする
EDITOR_LSS_SORT,,Sort:,Filtre:,Filtruj,coptиpobka:,Ordenar,Filtra:,ＳＯＲＴ:,Sort:,Sortieren:,Sırala:,Menyortir:,Organizar:,ならべかえる：
EDITOR_LSS_SORT_FEATURED,,Featured,Mis en avant,Wyróżnione,pekomehдУemыe,Destacados,In evidenza,ＦＥＡＴＵＲＥＤ,Featured,Empfohlen,Öne Çıkan,Unggulan,Destaque,にんき
EDITOR_LSS_SORT_RECENT,,Recent,Récent,Ostatnie,heдabhиe,Recientes,Più recente,ＲＥＣＥＮＴ,Bago ,Neu,Yenİ,Terkini,Recente,あたらしい
EDITOR_LSS_SORT_DOWNLOADS,,Downloads,Téléchargements,Pobrane,ckaчиbahия,Descargas,Più scaricati,ＤＯＷＮＬＯＡＤＳ,mga nakadownload,Downloads,İndİrİlenler,Unduhan,Downloads,ダウンロードすう
EDITOR_LSS_SORT_RATING,,Ratings,Notes,Najlepsze,oцehkи,Valoraciones,Valutazioni,ＲＡＴＩＮＧＳ,Ratings,Bewertungen,Derecelendİrmeler,Ratings,Classificações,とうひょうすう
EDITOR_LSS_ORDER,,Order:,Ordre:,Kolejność,Пopядok:,Ordenar:,Ordine:,ＯＲＤＥＲ:,Order:,Reihenfolge:,Sıra:,Order:,Ordem:,じゅんじょ：
EDITOR_LSS_ORDER_ASC,,Ascending,Croissant,Wzrastająca,Пo boзpactahию,Ascendente,Crescente,ＡＳＣＥＮＤＩＮＧ,Pataas,Aufsteigend,Artan Sırada,Menaikkan,Crescente,しょうじゅん
EDITOR_LSS_ORDER_DEC,,Descending,Décroissant,Malejąca,Пo Убыbahию,Descendente,Decrescente,ＤＥＳＣＥＮＤＩＮＧ,Pababa,Absteigend,Azalan Sırada,Menurun,Decrescente,こうじゅん
EDITOR_LSS_PAGE,,Page: {NUM},Page : {NUM},Strona: {NUM},ctpahицa: {NUM},Página: {NUM},Pagina: {NUM},ＰＡＧＥ: {ＮＵＭ},Pahina: {NUM},Seite: {NUM},Sayfa: {NUM},Halaman: {NUM},Página: {NUM},ページ：{NUM}
EDITOR_LSS_DOWNLOAD,Make sure these are uppercase (godots a bit weird),DOWNLOAD,TÉLÉCHARGER,POBIERZ,УctahobИtЬ,DESCARGAR,SCARICA,ＤＯＷＮＬＯＡＤ,I-DOWNLOAD,HERUNTERLADEN,İNDİR,UNDUH,DOWNLOAD,ダウンロード
EDITOR_LSS_OPEN_PAGE,Opens the level page on LSS,OPEN LSS,OUVRIR LSS,OTWÓRZ LSS,otkpЫtЬ LSS,ABRIR LSS,APRI LSS,ＯＰＥＮ ＬＳＳ,BUKSAN ANG LSS,IM BROWSER ÖFFNEN,LSS'Yİ AÇ,BUKA LSS,ABRIR LSS,LSSをひらく
RESOURCE_PACK_WARNING,,"CHANGING RESOURCE PACKS MID LEVEL WILL CAUSE COINS + BLOCKS TO RESPAWN. THIS IS A GODOT BUG, THAT I CANNOT FIX. SORRY.","CHANGER LES PACKS DE RESSOURCES EN PLEIN NIVEAU FERA RÉAPPARAÎTRE LES PIÈCES ET LES BLOCS. C'EST UN BUG DE GODOT, QUE JE NE PEUX PAS CORRIGER. DÉSOLÉ.","ZMIANA PACZEK ZASOBÓW PODCZAS POZIOMU SPOWODUJE POWRÓT MONET I BLOKÓW. TO BŁĄD, KTÓREGO NIE MOGĘ NAPRAWIĆ. PRZEPRASZAM.","ИЗmehehИe pecУpc Пakob ПocpeДИ УpobhЯ ПpИbeДet k bocctahobЛehИЮ mohet И БЛokob. Эto oШИБka ГoДota, kotopУЮ Я he moГУ ИcПpabИtЬ. ИЗbИhИte.",,,,,AUFGRUND EINES GODOT-BUGS WERDEN MÜNZEN UND BLÖCKE BEIM ÄNDERN EINES PACKS RESPAWNEN.,"KAYNAK PAKETLERİNİ LEVELİN ORTASINDA DEĞİŞTİRMEK ALTIN VE BLOKLARIN YENİDEN DOĞMASINA NEDEN OLACAKTIR. BU, BENİM DÜZELTEMEDİĞİM BİR GODOT HATASIDIR. ÜZGÜNÜM.","MENGGANTI PAKET RESOURCE DI TENGAH LEVEL AKAN MENYEBABKAN KOIN + BLOK RESPAWN. INI BUG GODOT, YANG TIDAK BISA SAYA PERBAIKI. MAAF.","MUDAR PACOTES DE RECURSO ENQUNTO ESTÁ EM UM NÍVEL VAI CAUSAR MOEDAS + BLOCOS RESETAREM. ESSE É UM BUG DO GODOT, QUE EU NÃO POSSO CONSERTAR. DESCULPA.",ゲームプレイちゅうに　リソースパックを　へんこうすると、もんだいが　はっけいする　ことがある。
RESOURCE_PACK_CREATE,,Create new resource pack,,Stwórz nową paczkę zasobów,coздatь hobый pecуpc Пak,Crear nuevo paquete de recursos,Crea un nuovo pacchetto di risorse,,,Neues Ressourcenpaket erstellen,YENİ KAYNAK PAKETİ OLUŞTUR,Buat paket resource baru,Criar novo pacote de recursos,あたらしいリソースパック
LEVEL_TITLE,,{NAME} By {AUTHOR},{NAME} par {AUTHOR},{NAME} przez {AUTHOR},{NAME} ot {AUTHOR},{NOMBRE} Por {AUTOR},{NAME} Fatto da {AUTHOR},{ＮＡＭＥ} ＢＹ {ＡＵＴＨＯＲ},{NAME} ni {AUTHOR},{NAME} von {AUTHOR},{AUTHOR} Tarafından {NAME},{NAME} Oleh {AUTHOR},{NAME} Por {AUTHOR},{AUTHOR}による「{NAME}」
EDITOR_HUD_MENU,,{KEY} to open menu,{KEY} pour ouvrir le menu,{KEY} aby otworzyć menu,{KEУ} для otkpыtия mehю,{TECLA} para abrir el menú,{KEY} per aprire il menu,{ＫＥＹ} ＴＯ ＯＰＥＮ ＭＥＮＵ,pindutin ang {KEY} pagbukas ng menu,{KEY} um das Menü zu öffnen.,{KEY} İle menüyü aç,{KEY} untuk membuka menu,{KEY} para abrir menu,{KEY}キーでメニューをひらく
EDITOR_HUD_LAYER,,Layer {LAYER},Couche {LAYER},Warstwa {LAYER},cлoй {LAYER},Capa {CAPA},Livello,ＬＡＹＥＲ {ＬＡＹＥＲ},Layer {LAYER},Ebene {LAYER},Kat {LAYER},Layer {LAYER},Camada {LAYER},レィヤー
EDITOR_MENU_PARTS,,Parts,Éléments,Części,Чactи,Partes,Parti,ＰＡＲＴＳ,Mga Parte,Teile,Parçalar,Bagian,Peças,パーツ
EDITOR_MENU_PARTS_0,,Tiles,Terrains,Klocki,taйлы,Azulejos,Tasselli,ＴＩＬＥＳ,Tiles,Oberflächen,Döşemeler,Ubin,Blocos de Chão,タイル
EDITOR_MENU_PARTS_1,,Pipes,Tuyaux,Rury,tpУбы,Tuberías,Tubi,ＰＩＰＥＳ,Mga Tubo,Röhren,Borular,Pipa,Canos,どかん
EDITOR_MENU_PARTS_2,,Enemies,Ennemis,Przeciwnicy,bpaги,Enemigos,Nemici,ＥＮＥＭＩＥＳ,Mga Kalaban,Gegner,Düşmanlar,Musuh,Inimigos,てき
EDITOR_MENU_PARTS_3,,Blocks,Blocs,Bloki,Блokи,Bloques,Blocchi,ＢＬＯＣＫＳ,Mga Bloke,Blöcke,Bloklar,Bloks,Blocos,ブロック
EDITOR_MENU_PARTS_4,,Objects,Objets,Objekty,oбъektы,Objetos,Oggetti 1,ＯＢＪＥＣＴＳ,Mga Gamit 1,Objekte,Nesneler,Objeks,Objetos,オブジェクト
EDITOR_MENU_PARTS_5,,Items,Items,Przedmioty,Пpeдmetы,Elementos,Oggetti 2,ＩＴＥＭＳ,Mga Gamit 2,Items,Eşyalar,Items,Items,アイテム
EDITOR_MENU_LEVEL,,Level,Niveau,Poziom,Уpobehь,Nivel,Livello,ＬＥＶＥＬ,Lebel,Level,Level,Level,Nível,ステージ
EDITOR_MENU_BG,,BG,ARR. PLAN,Tło,Фoh,BG,Sfondo,ＢＧ,BG,Hintergrund,Arka Plan,BG,BG,はいけい
"Editor Tile Names (Im SO sorry, there are so fucking many) dont have to bother doing these (just english is good enough :) )",,,,,,,,,,,,,,
,,,Jesus fucking christ,,,,,,,,,,,
TERRAIN_GROUND,,Ground Tile,Sol,Ziemia,Зemля,Baldosa,,ＧＲＯＵＮＤ ＴＩＬＥ,Ground Tile,Boden,Zemİn Bloğu,Ubin Tanah,Bloco de Chão,じめん
TERRAIN_SEMI_A,,Semi-Solid A,Semi-Solide A,Pół-Solida A,ПoлУпpohицaemaя плatфopma a,Semisólida A,,ＳＥＭＩ-ＳＯＬＩＤ Ａ,Semi-Solid A,Schwebende Plattform A,Yarı Katı A,Semi-Padat A,Semi-Sólido A,はんあたり　ちけいA
TERRAIN_SEMI_B,,Semi-Solid B,Semi-Solide B,Pół-Solida B,ПoлУпpohицaemaя плatфopma Б,Semisólida Sólido B,,ＳＥＭＩ-ＳＯＬＩＤ Ｂ,Semi-Solid B,Schwebende Plattform B,Yarı Katı B,Semi-Padat B,Semi-Sólido B,はんあたり　ちけいB
TILE_SLOPE1_TL,,Steep Slope TL,Pente abrupte HG,Stromy Pagórek GL,kpУtoй cпУck TL,Pendiente pronunciada TL,,ＳＴＥＥＰ ＳＬＯＰＥ ＴＬ,Steep Slope (Taas sa Kaliwa),Starke Neigung OL,Dİk Eğİm - TL,Lereng Curam TL,Rampa Íngrime CSE,きゅうな　さか（ヒウ）
TILE_SLOPE1_TR,,Steep Slope TR,Pente abrupte HD,Stromy Pagórek GP,kpУtoй cпУck TR,Pendiente pronunciada TR,,ＳＴＥＥＰ ＳＬＯＰＥ ＴＲ,Steep Slope (Taas sa Kanan),Starke Neigung OR,Dİk Eğİm - TR,Lereng Curam TR,Rampa Íngrime CSD,きゅうな　さか（ミウ）
TILE_SLOPE1_BL,,Steep Slope BL,Pente abrupte BG,Stromy Pagórek DL,kpУtoй cпУck BL,Pendiente pronunciada BL,,ＳＴＥＥＰ ＳＬＯＰＥ ＢＬ,Steep Slope (Baba sa Kaliwa),Starke Neigung UL,Dİk Eğİm - BL,Lereng Curam BL,Rampa Íngrime CIE,きゅうな　さか（ヒシ）
TILE_SLOPE1_BR,,Steep Slope BR,Pente abrupte BD,Stromy Pagórek DP,kpУtoй cпУck BR,Pendiente pronunciada BR,,ＳＴＥＥＰ ＳＬＯＰＥ ＢＲ,Steep Slope (Baba sa Kanan),Starke Neigung UR,Dİk Eğİm - BR,Lereng Curam BR,Rampa Íngrime CID,きゅうな　さか（ミシ）
TILE_SLOPE2_TLA,Gentle Slopes the lower half,Gentle Slope A TL,Pente douce A HG,Gładki Pagórek A GL,Плabhый cпУck a bЛ,Pendiente suave A TL,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ａ ＴＬ,Gentle Slope A (Taas sa Kaliwa),Schwache Neigung A OL,Hafİf Eğİm - A TL,Lereng Lembut A TL,Rampa Suave A CSE,やるやかな　さかA（ヒウ）
TILE_SLOPE2_TRA,,Gentle Slope A TR,Pente douce A HD,Gładki Pagórek A GP,Плabhый cпУck a bП,Pendiente suave A TR,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ａ ＴＲ,Gentle Slope A (Taas sa Kanan),Schwache Neigung A OR,Hafİf Eğİm - A TR,Lereng Lembut A TR,Rampa Suave A CSD,やるやかな　さかA（ミウ）
TILE_SLOPE2_BLA,,Gentle Slope A BL,Pente douce A BG,Gładki Pagórek A DL,Плabhый cпУck a hЛ,Pendiente suave A BL,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ａ ＢＬ,Gentle Slope A (Baba sa Kaliwa),Schwache Neigung A UL,Hafİf Eğİm - A BL,Lereng Lembut A BL,Rampa Suave A CIE,やるやかな　さかA（ヒシ）
TILE_SLOPE2_BRA,,Gentle Slope A BR,Pente douce A BD,Gładki Pagórek A DP,Плabhый cпУck a hП,Pendiente suave A BR,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ａ ＢＲ,Gentle Slope A (Baba sa Kanan),Schwache Neigung A UR,Hafİf Eğİm - A BR,Lereng Lembut A BR,Rampa Suave A CID,やるやかな　さかA（ミシ）
TILE_SLOPE2_TLB,Gentle Slopes top half,Gentle Slope B TL,Pente douce B HG,Gładki Pagórek B GL,Плabhый cпУck Б bЛ,Pendiente suave B TL,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ｂ ＴＬ,Gentle Slope B (Taas sa Kaliwa),Schwache Neigung B OL,Hafİf Eğİm - B TL,Lereng Lembut B TL,Rampa Suave B CSE,やるやかな　さかB（ヒウ）
TILE_SLOPE2_TRB,,Gentle Slope B TR,Pente douce B HD,Gładki Pagórek B GP,Плabhый cпУck Б bП,Pendiente suave B TR,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ｂ ＴＲ,Gentle Slope B (Taas sa Kanan),Schwache Neigung B OR,Hafİf Eğİm - B TR,Lereng Lembut B TR,Rampa Suave B CSD,やるやかな　さかB（ミウ）
TILE_SLOPE2_BLB,,Gentle Slope B BL,Pente douce B BG,Gładki Pagórek B DL,Плabhый cпУck Б hЛ,Pendiente suave B BL,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ｂ ＢＬ,Gentle Slope B (Baba sa Kaliwa),Schwache Neigung B UL,Hafİf Eğİm - B BL,Lereng Lembut B BL,Rampa Suave B CIE,やるやかな　さかB（ヒシ）
TILE_SLOPE2_BRB,,Gentle Slope B BR,Pente douce B BD,Gładki Pagórek B DP,Плabhый cпУck Б hП,Pendiente suave B BR,,ＧＥＮＴＬＥ ＳＬＯＰＥ Ｂ ＢＲ,Gentle Slope B (Baba sa Kanan),Schwache Neigung B UR,Hafİf Eğİm - B BR,Lereng Lembut B BR,Rampa Suave B CID,やるやかな　さかB（ミシ）
TILE_DECO,,Deco Block,Bloc décoratif,Block Dekoracyjny,Дekopatиbhый блok,Bloque decorativo,,ＤＥＣＯ ＢＬＯＣＫ,Deco Block,Deko-Block,Dekor Bloğu,Blok Deco,Bloco de Decoração,かたいブロック
TILE_TREE_TOP,,Tree Top,Feuillage arbre,Korona Drzewa,bepxУшka дepeba,Copa del árbol,,ＴＲＥＥ ＴＯＰ,Itaas ng Puno,Baumkranz,Ağaç Tepesİ,Puncak Pohon,Copa da Árvore,こずえ
TILE_TREE_BASE,,Tree Base,Tronc d'arbre,Pień Drzewa,ochoba дepeba,Base del árbol,,ＴＲＥＥ ＢＡＳＥ,Base ng Puno,Baumstamm,Ağaç Tabanı,Pangkalan Pohon,Base da Árvore,みき
TILE_MUSHROOM_1,,Mushroom A,Plateforme Champi A,Grzyb A,Гpиб a,Seta A,,ＭＵＳＨＲＯＯＭ Ａ,Mushroom A,Pilz A,Mantar A,Jamur A,Cogumelo A,キノコちけいA
TILE_MUSHROOM_2,,Mushroom B,Plateforme Champi B,Grzyb B,Гpиб Б,Seta B,,ＭＵＳＨＲＯＯＭ Ｂ,Mushroom B,Pilz B,Mantar B,Jamur B,Cogumelo B,キノコちけいB
TILE_MUSHROOM_3,,Mushroom C,Plateforme Champi C,Grzyb C,Гpиб b,Seta C,,ＭＵＳＨＲＯＯＭ Ｃ,Mushroom C,Pilz C,Mantar C,Jamur C,Cogumelo C,キノコちけいC
TILE_MUSH_STEM,,Mushroom Stem,Tige Champi,Trzon Grzyba,poctok Гpибa,Tallo de seta,,ＭＵＳＨＲＯＯＭ ＳＴＥＭ,Stem ng Mushroom,Pilzstamm,Mantar Sapı,Batang Jamur,Caule do Cogumelo,キノコのくき
TILE_PIPE1A_TL,Green Pipe Vertical,Vertical Green Pipe TL,Tuyau Vert Vertical HG,Pionowa Zielona Rura GL,beptиkaльhaя Зeлёhaя tpУбa bЛ,Tubería verde vertical TL,,ＶＥＲＴＩＣＡＬ ＧＲＥＥＮ ＰＩＰＥ ＴＬ,Patayong Berdeng Tubo (Taas sa Kaliwa),Vertikale grüne Röhre OL,Dİkey Yeşİl Boru TL,Pipa Hijau Vertikal TL,Cano Vertical Verde CSE,みどりのどかん（タテ、ヒウ）
